siblings,height07,height16,height33,gwage33,momed,daded,Ht16Noisy
,45.984222,,68.503937,7.1999998,,,
6,49.999981,66.141708,71.653542,6.7718916,9.5,9.5,64.927628
4,45.984222,61.417301,65.748032,4.2391305,,,60.454041
3,49.015743,70.078728,70.866142,20,11.5,11.5,72.410797
3,49.999981,,72.047241,8.0952377,,,
3,52.007839,,75.984253,8.3999996,11.5,11.5,
4,45.984222,59.842499,65.748032,5.0042553,,,55.572559
5,44.015713,63.779522,64.960632,6,9.5,9.5,61.943562
3,47.992119,69.68502,71.653542,5.3837838,,,73.286362
3,44.999985,61.811012,66.141731,5.3333335,,,61.509396
3,49.015743,69.291313,70.472443,4.3589745,17,17,68.193336
2,49.999981,70.078728,71.259842,6,,,67.761047
1,53.149582,72.834625,75.984253,4.4000001,9.5,9.5,72.829346
5,49.015743,70.472443,72.047241,7.8545456,11.5,9.5,72.065643
5,49.015743,66.929123,68.110237,8,9.5,9.5,68.319824
3,44.999985,62.992104,67.322838,11.944445,9.5,,61.758011
4,52.992115,73.62204,75.196854,11.472,11.5,19,76.25737
,44.015713,62.20472,64.173225,4.304348,9.5,9.5,62.919209
5,44.015713,,64.960632,7.5,9.5,13.5,
3,49.999981,70.078728,71.259842,6.2857141,11.5,10.5,72.541809
4,49.999981,66.929123,67.716537,8.666667,10.5,9.5,69.71669
3,49.015743,64.173195,66.141731,5.3333335,9.5,9.5,63.591743
3,49.015743,66.141708,68.897636,5.4761906,9.5,9.5,63.437389
5,44.999985,64.173195,68.110237,8.0357141,9.5,9.5,60.688667
6,45.984222,66.535416,67.322838,5.4054055,10.5,9.5,66.101944
8,44.999985,65.747993,66.929131,5.319149,9.5,9.5,67.852501
3,47.992119,70.866112,73.622047,5.25,9.5,9.5,66.218163
4,49.015743,,68.110237,7.1351352,,,
3,50.984219,70.078728,74.803146,5.8378377,9.5,9.5,72.123825
,,,72.047241,8.7647057,,,
5,47.992119,,68.897636,6.6666665,,,
4,44.999985,,68.110237,6.7666669,9.5,,
3,50.984219,70.866112,72.440948,6.025641,9.5,9.5,73.432495
4,47.992119,,67.716537,9.0545454,,,
4,45.984222,62.992104,64.960632,5.25,9.5,9.5,67.027702
5,47.992119,,66.929131,4.7948718,,,
4,47.992119,68.897636,71.653542,10.285714,10.5,10.5,64.262589
,50.984219,,74.015747,8.6097565,,,
3,44.015713,61.417301,65.354332,3.75,9.5,9.5,60.533577
4,45.984222,68.110222,68.503937,4.182857,,,63.164059
3,50.984219,70.472443,71.653542,6.6666665,,,73.703888
3,47.992119,67.3228,68.110237,4.8974357,10.5,11.5,66.834236
4,47.007847,66.929123,67.716537,6.9767442,,,65.514565
5,49.015743,67.3228,69.685036,7.1288891,,,70.574242
,42.992088,55.511806,66.141731,4.2315788,,,58.971039
3,,,70.472443,6.0444446,,,
5,49.999981,68.897636,68.897636,11.142858,9.5,12.5,64.605354
7,44.999985,62.992104,66.929131,3.3428571,9.5,9.5,66.16758
7,47.992119,68.110222,71.653542,6,9.5,9.5,66.152824
5,47.992119,69.291313,70.866142,9.7297297,,,65.382278
5,,65.354324,68.503937,5.8717947,9.5,9.5,70.331039
,47.007847,67.3228,68.503937,5.9230771,,,63.588139
3,49.015743,67.3228,69.685036,8.9931431,9.5,19,64.95079
4,49.015743,,73.622047,7.0243902,11.5,11.5,
2,49.999981,,69.685036,6,,,
5,44.999985,62.20472,67.322838,5.0526314,,,58.127872
6,44.999985,64.566902,67.716537,6.6666665,10.5,10.5,66.098686
4,54.015739,,74.803146,5.6756759,,,
8,45.984222,59.842499,70.472443,5.0181818,10.5,9.5,57.263191
5,47.007847,,65.354332,6.7567568,,,
4,52.007839,70.866112,74.015747,5.2127662,,,68.254189
3,47.007847,61.023594,68.503937,4.1346154,10.5,9.5,62.092922
4,49.999981,69.68502,72.047241,7.5,9.5,9.5,66.810753
,47.007847,63.385815,67.716537,11.111111,10.5,11.5,60.085728
4,47.992119,69.68502,70.078743,6.5,9.5,,71.016556
2,,71.259819,73.228348,5.4545455,9.5,9.5,76.208557
3,49.999981,68.897636,72.440948,157.71428,10.5,9.5,65.134056
2,49.015743,68.110222,70.078743,5.189189,9.5,10.5,64.778069
5,49.999981,67.3228,70.866142,8.8000002,10.5,9.5,66.690208
4,47.992119,68.110222,69.291336,10,9.5,9.5,65.192154
9,47.007847,67.3228,68.503937,5.9459457,11.5,12.5,66.747734
7,50.984219,71.653534,73.228348,8.4252634,9.5,9.5,73.279381
,45.984222,,67.716537,4.7111111,,,
3,49.015743,66.141708,67.716537,9.4736843,11.5,19,66.089027
2,49.999981,,72.047241,8.6173334,,,
,44.999985,66.929123,68.897636,3.5526316,9.5,12.5,71.484344
2,52.992115,,76.377953,11.04,,,
3,52.007839,70.866112,73.228348,8.8888893,10.5,10.5,68.133652
,49.015743,66.929123,67.322838,14,,,69.237083
4,49.999981,69.291313,69.685036,4,,,65.52655
5,49.999981,,68.110237,9.6000004,10.5,10.5,
3,45.984222,64.566902,67.716537,4.4000001,9.5,11.5,60.203167
4,47.007847,66.929123,66.929131,8.2222223,10.5,9.5,62.169682
7,47.992119,69.291313,70.472443,8.909091,,,66.244476
4,47.007847,66.535416,68.110237,8.5,9.5,9.5,65.240158
,47.007847,66.141708,68.897636,7.6923075,10.5,10.5,70.48275
,47.992119,,71.653542,10.56,,,
,,62.20472,66.535431,8.2879992,10.5,9.5,64.735878
4,47.007847,68.110222,69.685036,4.8000002,9.5,10.5,69.531799
3,47.992119,65.354324,66.929131,8.9743586,,,66.087547
4,47.992119,68.110222,68.897636,8.9473686,11.5,13.5,63.969685
3,45.984222,66.929123,68.897636,6.4000001,9.5,9.5,66.376877
,49.999981,67.3228,69.685036,12.307693,11.5,12.5,66.723511
5,47.992119,68.503929,68.897636,4.1538463,9.5,9.5,63.721294
4,47.007847,66.141708,66.929131,5.1428571,10.5,9.5,65.245461
4,49.999981,70.078728,70.472443,5.5999999,9.5,11.5,73.552452
6,49.015743,,71.653542,4.090909,,,
5,44.999985,64.173195,64.960632,4.0571427,9.5,9.5,65.250252
5,,61.023594,66.141731,7,10.5,10.5,62.278313
6,50.984219,,71.653542,5.2999997,,,
5,49.015743,67.3228,68.110237,6.6666665,9.5,10.5,65.336433
4,47.992119,67.716507,70.472443,98.914284,9.5,9.5,66.378204
4,47.007847,67.716507,70.078743,9.405405,9.5,12.5,68.891174
3,49.015743,67.3228,68.897636,5,9.5,9.5,70.215965
8,47.992119,67.3228,68.897636,2.6086957,9.5,9.5,65.300774
9,49.999981,,69.685036,4.8285713,,,
,,68.503929,72.047241,6.5643244,,,65.264038
,50.984219,68.503929,69.685036,3.6821053,9.5,9.5,65.054108
5,46.062958,64.173195,66.141731,6.8442855,9.5,9.5,60.541248
2,49.999981,68.897636,70.078743,2.9027777,9.5,9.5,68.916054
3,,,70.472443,12.162162,10.5,,
6,47.992119,63.385815,69.685036,4.5,9.5,9.5,67.735191
8,47.992119,66.141708,66.535431,4.7272725,10.5,10.5,68.005104
3,52.007839,,72.834648,6.9473686,,,
3,49.015743,64.960617,66.929131,6.9302325,11.5,10.5,67.074509
4,45.984222,66.141708,72.440948,4,9.5,9.5,68.653587
3,45.984222,64.173195,68.503937,6.6666665,9.5,9.5,68.336601
4,45.984222,64.960617,66.535431,8.5714283,9.5,9.5,64.288193
7,44.999985,,64.173225,8.1702127,9.5,9.5,
4,49.015743,,70.078743,8.1081085,,,
6,45.984222,63.385815,68.110237,8.5714283,13.5,11.5,58.66288
5,49.999981,67.716507,68.110237,16,,,64.980003
3,49.015743,67.716507,69.291336,12.222222,,,63.966045
5,52.007839,68.503929,70.866142,9.090909,10.5,10.5,69.25724
5,47.007847,,68.110237,6.4864864,9.5,9.5,
4,49.999981,65.747993,67.716537,12.5,,,70.466957
4,47.007847,66.141708,67.322838,13.5,10.5,11.5,62.633675
5,49.999981,66.929123,67.322838,5.7032433,19,19,70.466103
,,,68.110237,6.9637837,,,
2,47.992119,64.566902,66.141731,13.2,9.5,9.5,60.841232
2,52.007839,,75.590553,14.285714,10.5,11.5,
4,50.984219,70.472443,72.440948,11.675675,,,66.757217
3,45.984222,62.992104,66.141731,6.9145947,10.5,10.5,60.730877
4,49.015743,67.3228,71.653542,3.8461537,9.5,9.5,69.378517
3,45.984222,,70.472443,6.5999999,9.5,9.5,
7,47.992119,64.960617,65.748032,8.333333,10.5,10.5,68.565941
5,47.007847,66.929123,69.291336,10.810811,9.5,11.5,64.156532
6,,,68.110237,6.2162161,,,
8,47.007847,68.110222,72.834648,13.26,,,68.943214
8,47.007847,66.929123,68.897636,15,,,67.412857
8,44.999985,64.960617,66.141731,8.4324322,12.5,9.5,61.315994
3,47.992119,65.747993,66.535431,10.5,9.5,11.5,62.274658
5,47.007847,63.779522,64.960632,6.4795241,12.5,,60.071625
4,49.015743,69.291313,72.834648,7.7837839,,,72.021088
,49.015743,,70.866142,9.7297297,10.5,9.5,
,,,72.440948,10.937142,,,
4,49.015743,,71.259842,3.111892,9.5,9.5,
2,49.015743,68.110222,69.291336,10.25,9.5,11.5,67.326355
6,50.984219,67.716507,72.047241,18.162163,11.5,9.5,66.494072
3,49.999981,70.078728,72.834648,4.4736843,9.5,9.5,68.121964
4,47.992119,62.20472,69.291336,6.1904764,9.5,9.5,63.20438
4,45.984222,62.20472,71.259842,4.3589745,9.5,9.5,62.481701
,47.992119,63.779522,70.866142,14.836364,,,60.741753
3,49.015743,67.3228,71.259842,7.25,9.5,8.5,68.627708
5,45.984222,62.598392,68.110237,9.333333,10.5,10.5,62.333508
5,49.999981,68.897636,70.866142,6,10.5,9.5,64.211525
6,,66.929123,68.503937,15.771428,10.5,9.5,71.478783
5,47.992119,66.929123,68.897636,8,9.5,9.5,66.077774
6,44.999985,,67.716537,6.6315789,10.5,10.5,
6,47.007847,,70.078743,8.2857141,9.5,19,
,49.999981,,71.259842,8.75,9.5,9.5,
4,49.015743,,70.078743,7.1428571,,,
10,45.984222,65.747993,68.503937,3.3599999,9.5,6,64.008804
5,49.015743,67.3228,68.897636,10.285714,9.5,9.5,70.242035
,47.992119,,71.259842,9.7297297,9.5,9.5,
,,,70.078743,4.3023257,9.5,9.5,
5,49.999981,,70.866142,13.028571,13.5,10.5,
6,,66.535416,68.503937,17.5,9.5,11.5,67.659966
,,66.141708,66.535431,7.3846154,9.5,10.5,67.17115
,49.015743,,69.291336,10.285714,11.5,9.5,
7,52.007839,70.078728,73.228348,7.3333335,10.5,9.5,65.457443
3,49.999981,66.141708,71.259842,12.923077,12.5,10.5,62.654484
4,47.007847,,65.748032,14.4,,,
,47.992119,,67.716537,4.6153846,9.5,9.5,
3,47.992119,,70.078743,6.5,10.5,10.5,
3,47.992119,66.535416,68.503937,10.066667,9.5,9.5,65.92894
4,,70.078728,71.259842,9.8870268,9.5,9.5,70.435791
,45.984222,,68.110237,3.3170731,,,
,47.992119,65.747993,67.716537,5.4461536,9.5,9.5,69.538315
,47.007847,,63.385826,9.6000004,,,
6,49.015743,66.141708,72.440948,9.6000004,10.5,9.5,64.103905
,47.007847,68.110222,69.291336,3.5714285,9.5,9.5,71.664566
,,66.535416,68.503937,5.2941175,9.5,9.5,67.22084
4,47.007847,67.3228,69.685036,4.8936172,10.5,10.5,68.423714
3,,,68.897636,12,13.5,12.5,
,49.015743,,70.866142,17.775999,,,
,,66.929123,68.897636,5,10.5,10.5,70.036819
,,60.23621,68.110237,6.8571429,9.5,9.5,58.525661
5,49.015743,68.897636,70.078743,9.4594593,10.5,9.5,64.536156
6,47.992119,66.141708,71.259842,9,9.5,9.5,65.683273
3,52.007839,71.653534,75.196854,5.5609756,9.5,9.5,72.024681
,,66.929123,67.322838,6.2857141,,,68.805038
4,49.015743,64.960617,71.653542,8.1599998,9.5,9.5,60.880352
4,49.999981,,70.472443,6.2399998,10.5,10.5,
4,49.999981,,71.259842,6.3141818,11.5,10.5,
,,67.716507,69.685036,3.6410255,10.5,10.5,69.417427
,49.999981,68.110222,69.685036,8.7179489,10.5,,70.35672
4,,72.44091,72.834648,5.5076923,12.5,10.5,71.263649
,49.015743,68.897636,73.228348,6.8571429,10.5,10.5,73.366737
4,47.007847,63.385815,66.535431,5.5,9.5,9.5,63.050285
4,47.992119,66.929123,68.503937,96.521736,9.5,12.5,66.362999
3,47.992119,64.960617,66.535431,5.6716418,,,65.411522
4,49.015743,66.535416,73.228348,10.105263,,,68.047165
,47.992119,65.747993,68.897636,9.6000004,9.5,9.5,63.69072
6,,,70.472443,6,9.5,9.5,
5,47.992119,,66.141731,5.7051425,10.5,9.5,
,45.984222,,66.535431,7.7777777,13.5,9.5,
5,47.992119,67.3228,67.716537,9.7222223,,,71.179039
,,,68.110237,2.8461537,9.5,9.5,
,49.999981,72.44091,73.228348,10.736842,10.5,10.5,68.256149
3,49.999981,,71.259842,8.9189186,10.5,11.5,
,,64.960617,65.354332,11.111111,11.5,9.5,66.058243
2,45.984222,66.929123,68.110237,5.5405407,9.5,9.5,68.757416
,49.015743,,65.748032,10.148572,,,
5,45.984222,63.779522,65.354332,8.2051287,9.5,9.5,62.707726
4,49.015743,,70.866142,10.9375,9.5,12.5,
3,,,71.653542,5.5714288,9.5,9.5,
,,61.417301,63.385826,7.5555553,,,59.98267
3,49.999981,71.259819,72.047241,8.25,9.5,9.5,75.54232
7,52.992115,74.015717,75.590553,8,9.5,9.5,74.224174
3,,,74.409447,4.5,,,
7,,62.598392,64.173225,4.1964288,9.5,9.5,66.236259
5,49.015743,66.141708,68.897636,3.8543999,17,19,65.873116
5,49.015743,68.503929,70.472443,15.84,17,19,72.887283
3,49.015743,68.503929,69.291336,10.810811,9.5,9.5,66.461876
4,49.999981,72.44091,73.228348,9.9574471,17,19,69.664612
4,49.999981,66.535416,69.685036,4.875,9.5,10.5,63.694927
5,,,72.047241,10.285714,11.5,10.5,
4,49.999981,64.173195,66.929131,5.6410255,9.5,9.5,64.949425
5,47.992119,,71.259842,12.410256,9.5,9.5,
3,,,68.110237,10,,,
,44.999985,64.960617,66.929131,5.6052632,,9.5,63.765583
4,49.999981,67.716507,74.015747,6.9230771,10.5,9.5,69.305084
7,47.007847,,68.110237,77.837837,9.5,9.5,
5,47.992119,68.503929,72.047241,5.4545455,9.5,9.5,70.739983
6,49.015743,,72.440948,9.7714281,9.5,9.5,
3,49.999981,67.716507,69.685036,4.4181819,9.5,9.5,68.349747
4,49.015743,68.503929,70.472443,4.7222223,9.5,9.5,64.99218
5,47.992119,68.897636,69.291336,8.1081085,9.5,9.5,65.168091
6,45.984222,64.960617,67.322838,12.324325,9.5,9.5,61.561241
8,44.999985,,67.716537,11.666667,9.5,9.5,
3,47.992119,68.503929,69.685036,3.5555556,10.5,10.5,70.453064
,49.999981,71.259819,75.196854,6,10.5,9.5,66.890625
,49.999981,,72.047241,8.5,,,
3,49.015743,,70.078743,10.5,,,
3,47.007847,66.535416,68.110237,6.5,11.5,11.5,70.883324
5,44.999985,,69.685036,7.5789475,9.5,9.5,
4,47.992119,64.960617,67.716537,78.947365,9.5,9.5,62.644619
5,44.999985,59.055119,67.322838,7.3947368,9.5,9.5,58.283718
6,,,72.834648,6.3829789,11.5,10.5,
4,49.015743,,70.078743,6.48,,,
5,44.999985,65.747993,70.078743,80,9.5,9.5,63.26754
5,52.007839,70.866112,73.228348,5.9459457,8.5,10.5,68.342216
7,47.007847,61.811012,69.685036,2.5306122,9.5,10.5,62.828133
3,47.007847,67.716507,69.685036,12.6,9.5,9.5,64.876297
8,50.984219,68.110222,69.685036,6.6666665,10.5,10.5,69.471603
5,47.992119,67.716507,68.110237,6.465517,9.5,10.5,66.780388
5,45.984222,67.3228,68.897636,4.3653846,,,70.439209
5,47.007847,66.929123,68.110237,6.810811,11.5,9.5,67.914604
5,50.984219,69.68502,72.047241,7.4418607,9.5,9.5,71.415779
7,42.007851,61.417301,62.992126,7.8947368,9.5,9.5,65.787804
6,49.999981,62.20472,69.685036,5.7119999,9.5,9.5,62.65744
3,42.992088,,63.385826,8.2461538,,,
3,45.984222,67.3228,70.078743,6.5,9.5,9.5,72.269226
3,,,69.291336,5.0999999,10.5,9.5,
10,45.984222,63.779522,67.322838,4.6666665,9.5,9.5,62.963787
13,,63.779522,66.929131,4.5833335,9.5,9.5,65.227394
6,45.984222,65.354324,66.929131,4.8717947,11.5,12.5,70.011162
5,47.007847,65.354324,66.535431,8.6046515,,,63.519489
4,,,66.535431,9.6000004,,,
3,47.007847,66.929123,68.897636,8.1702127,10.5,11.5,63.535934
7,50.984219,,72.834648,3.909091,,,
6,50.984219,70.866112,72.440948,8.333333,10.5,9.5,71.133514
4,47.007847,64.173195,68.110237,6.0714288,10.5,9.5,61.19458
6,50.984219,72.047241,73.622047,12.631579,9.5,9.5,73.974312
6,47.007847,,70.078743,5,9.5,9.5,
,47.007847,,66.929131,3.95,,,
5,47.007847,63.385815,67.716537,2.4193549,9.5,9.5,59.907063
4,47.992119,68.110222,69.685036,12.5,10.5,10.5,67.799774
3,45.984222,63.779522,67.322838,5.8378377,9.5,9.5,59.517124
3,45.984222,,68.110237,11,,,
4,44.015713,65.747993,66.929131,15.384615,11.5,,68.47464
2,47.007847,65.747993,69.685036,4.7619047,10.5,10.5,68.298988
3,47.992119,67.3228,67.716537,7.6500001,10.5,9.5,71.578377
4,49.999981,69.291313,72.440948,10.8,10.5,10.5,68.962204
7,45.984222,,67.322838,5.0999999,,,
,47.992119,,69.685036,8,,,
2,44.999985,64.960617,68.110237,5.5263157,10.5,10.5,67.411736
9,44.015713,,66.141731,4.8461537,9.5,9.5,
7,47.007847,66.141708,72.047241,4.1025643,9.5,9.5,66.504555
5,49.015743,70.078728,72.440948,5.2727275,,,66.502296
6,49.015743,,70.866142,7.8571429,9.5,9.5,
7,44.999985,67.3228,68.897636,9.7894735,10.5,9.5,62.805729
3,49.015743,67.3228,68.897636,9.7297297,10.5,10.5,64.786644
,47.992119,65.354324,66.141731,11.842105,9.5,9.5,61.771496
3,50.984219,72.834625,74.015747,12.116571,9.5,9.5,70.658211
3,47.007847,,69.685036,16.333334,,,
4,52.992115,70.472443,71.653542,5.75,9.5,9.5,68.559456
3,47.007847,66.535416,66.929131,3.4166667,9.5,9.5,63.737717
,45.984222,63.385815,66.141731,5.4239998,9.5,9.5,59.257233
8,49.015743,,68.110237,3,,,
5,44.999985,,66.535431,6.25,,,
5,47.007847,65.747993,70.472443,5.6172972,9.5,9.5,66.780037
3,49.015743,70.078728,72.440948,10.858286,,,66.318748
7,49.015743,73.62204,74.409447,3.7777777,9.5,10.5,73.749153
3,49.015743,66.929123,66.929131,8.6611109,10.5,10.5,65.813148
4,47.992119,69.291313,69.685036,8.1904764,10.5,9.5,66.92244
4,47.992119,66.929123,68.503937,7.0394592,10.5,9.5,65.035736
3,49.015743,68.110222,72.047241,4.7272725,9.5,9.5,65.451118
5,47.992119,65.747993,66.141731,4.3589745,11.5,9.5,64.758293
7,45.984222,61.811012,70.866142,4.1025643,9.5,9.5,63.343941
,47.992119,64.566902,68.503937,6.521739,9.5,12.5,61.446953
5,49.015743,68.110222,69.291336,7.4666667,13.5,13.5,66.102112
2,,66.535416,67.716537,6.6666665,9.5,9.5,69.955574
4,49.015743,,70.866142,4.8000002,,,
5,49.999981,,70.472443,7.1052632,9.5,9.5,
,47.992119,64.173195,68.503937,3.2222223,9.5,9.5,62.464344
3,49.999981,67.3228,70.078743,6.1538463,9.5,9.5,69.140701
6,45.984222,60.23621,67.716537,11.428572,10.5,10.5,65.136765
3,47.007847,63.779522,67.716537,3.625,10.5,10.5,63.867981
6,45.984222,64.960617,68.897636,7.5,6,9.5,69.046211
3,50.984219,72.047241,75.196854,11.4,11.5,9.5,70.185562
3,45.984222,,66.535431,5.8000002,,,
6,49.999981,68.897636,70.472443,7.1351352,9.5,9.5,71.531464
4,47.992119,64.960617,68.110237,7.8571429,11.5,9.5,69.778687
